Ids,UserName,FullName,Followers,Friends,Location,Created
1654188770,Hyperloop,Hyperloop,180224,95,"Hawthorne, CA",Aug-2013
1282121312,waitbutwhy,Tim Urban,208761,578,,Mar-2013
4398626122,OpenAI,OpenAI,379085,0,,Dec-2015
19658826,newscientist,New Scientist,3528447,145,Worldwide,Jan-2009
817386,Techmeme,Techmeme,399577,921,United States,Mar-2007
859816394556284929,boringcompany,The Boring Company,327424,5,"Los Angeles, CA",May-2017
1308211178,Teslarati,TESLARATI,127849,71,California,Mar-2013
86254626,realpreityzinta,Preity G Zinta,4806691,105,Catch me if you can....,Oct-2009
3971645739,iamsonalibendre,Sonali Bendre Behl,321123,129,,Oct-2015
69914008,FarahKhanAli,Farah Khan,686631,977,"ÜT: 19.110207,72.825719",Aug-2009
643443,Twitterrific,Twitterrific,409492,15,"a tree in Dubuque, IA",Jan-2007
44635677,DabbooRatnani,DABBOO RATNANI,1736573,583,"Mumbai, India",Jun-2009
103603559,kapoorkkunal,Kunal Kapoor,573211,56,mumbai,Jan-2010
711117306458320897,bubblesbehl,Bubbles,7358,59,,Mar-2016
60074902,afsarzaidi,Afsar Zaidi,22632,137,,Jul-2009
50243043,GOLDIEBEHL,goldie behl,134402,666,right here,Jun-2009
76294950,AnupamPKher,Anupam Kher,14268202,175,"Mumbai, India",Sep-2009
115290697,KomalNahta,Komal Nahta,986506,33,Bombay,Feb-2010
56761423,DinoMorea9,Dino Morea,534421,287,"Mumbai, Maharashtra",Jul-2009
83212615,rajcheerfull,Raj Nayak,566978,741,Earth,Oct-2009
15093629,shekharkapur,Shekhar Kapur,2736502,502,Mumbai,Jun-2008
1097553362,vineetjaintimes,Vineet jain,130299,194,mumbai,Jan-2013
631289812,Leander,Leander Paes,1296133,312,,Jul-2012
321866313,y_umesh,Umesh Yaadav,2387971,39,,Jun-2011
5988062,TheEconomist,The Economist,24062950,121,London,May-2007
63796828,verified,Twitter Verified,2769974,335249,San Francisco,Aug-2009
20609518,DalaiLama,Dalai Lama,19289166,0,"Dharamsala, India",Feb-2009
381949397,ianuragthakur,Anurag Thakur,1388017,214,Delhi/Himachal/India,Sep-2011
2500955780,VVSLaxman281,VVS Laxman,6644949,325,India,May-2014
409089061,BrettLee_58,Brett Lee,2393080,511,🇦🇺🇮🇳,Nov-2011
24705126,ShashiTharoor,Shashi Tharoor,7068854,905,New Delhi & Thiruvananthapuram,Mar-2009
15846407,TheEllenShow,Ellen DeGeneres,78650788,27810,California,Aug-2008
14159148,UN,United Nations,11470924,1179,"New York, NY",Mar-2008
14293310,TIME,TIME,16292166,493,,Apr-2008
3108351,WSJ,The Wall Street Journal,16926370,1114,"New York, NY",Apr-2007
807095,nytimes,The New York Times,44193906,901,New York City,Mar-2007
5402612,BBCBreaking,BBC Breaking News,40702346,3,"London, UK",Apr-2007
2467791,washingtonpost,The Washington Post,14211141,1643,"Washington, DC",Mar-2007
17471979,NatGeo,National Geographic,23348640,72,Global,Nov-2008
937499232,Malala,Malala,1519745,311,,Nov-2012
15808647,techreview,MIT Technology Review,1006762,3371,"Cambridge, MA",Aug-2008
39511166,unfoundation,UN Foundation,584982,1879,"Washington, DC",May-2009
822215673812119553,WhiteHouse,The White House,19130348,15,"Washington, D.C.",Jan-2017
1344951,WIRED,WIRED,10399989,368,San Francisco/New York,Mar-2007
76591925,KicchaSudeep,Kichcha Sudeepa,2263397,68,Bengaluru,Sep-2009
471741741,PMOIndia,PMO India,30638486,482,India,Jan-2012
44588485,chetan_bhagat,Chetan Bhagat,12600364,164,Mumbai,Jun-2009
2183816041,arunjaitley,Arun Jaitley,15298985,161,New Delhi,Nov-2013
31348594,akshaykumar,Akshay Kumar,32209759,26,,Apr-2009
19895282,arrahman,A.R.Rahman,22030944,1,"Chennai, India",Feb-2009
614156493,priyagupta999,Priya Gupta,643397,535,Mumbai,Jun-2012
16983244,MissMalini,MissMalini,2757942,4222,Bombay,Oct-2008
19929890,BDUTT,barkha dutt,6975662,2191,India,Feb-2009
195703895,TheFarahKhan,Farah Khan,6738536,74,"Mumbai, India",Sep-2010
